commit	short	bucket	subject	notes
1c3bee39520b054f11213126ca0ff3c10ca5db61	1c3bee39	merge-release-doc-skip	release: v0.4.7.3	
d4d239a71999a49fdc44050846157c7a69427557	d4d239a7	direct-dry-run	Remove workspace switch animations	auto-candidate; still requires dry-run and ledger
b1dbacdf2a38ad1286258c0613c047e8904f4935	b1dbacdf	direct-dry-run	Harden native fullscreen restore recovery	auto-candidate; still requires dry-run and ledger
ff98fc6e8f6ecf0be27a80c3bf3c96fe405cfc2e	ff98fc6e	zig-build-skip	Move Niri topology planning to Zig kernel	
b10367484dfe5046027aa15e5a648dc686e26985	b1036748	zig-build-skip	Port workspace navigation planning to Zig kernel	
e0374404c0385d2ed4f964dea24cefdd4c772082	e0374404	direct-dry-run	feat: add workspace bar theming support	auto-candidate; still requires dry-run and ledger
ce9a0c65c3c5016c1c756805652df3054124630a	ce9a0c65	zig-build-skip	Finalize Zig workspace navigation integration	
054fbc0b34a46e0868b849c59bd6bff021795a7c	054fbc0b	direct-dry-run	Restore missing Niri topology animations	auto-candidate; still requires dry-run and ledger
08d5969ef1faa4bf8ee5655225da428bc295f132	08d5969e	zig-build-skip	Port restore planner to Zig kernel	
1186d288531427415755a0687c31b0cc585edfbd	1186d288	mixed-investigate-only	Make Niri viewport snapping fullscreen-aware	
872d7865ca6fab65dbb4b6c4709e057cacda237b	872d7865	merge-release-doc-skip	Add dagi3d to sponsors list	
b06a86b1e6dee5337b234a5c8c7e2fa397d6bb8a	b06a86b1	mixed-investigate-only	Preserve selection for no-op Niri focus commands	
56a966bb6ea64e69369934f93da5962a4e42d525	56a966bb	direct-dry-run	Fix Niri fullscreen viewport restore	auto-candidate; still requires dry-run and ledger
1194ebdc451f5f31b3ae8fef598ae03e8176a8fc	1194ebdc	merge-release-doc-skip	Merge pull request #227 from adelin-b/feat/workspace-bar-theming	
081eed28049d32512cea37d0ab3dc15b8c839e06	081eed28	direct-dry-run	Persist workspace bar theming and refresh bars in place	auto-candidate; still requires dry-run and ledger
442e3623443fd6d640200cc02e948ffefac057ca	442e3623	merge-release-doc-skip	README: New Contributor	
6cc02c458672f5ce97c3647bead51616af715196	6cc02c45	direct-dry-run	Refactor IPC command router dispatch	auto-candidate; still requires dry-run and ledger
d370403f8f1dfd485106a9703ee3482f747c21b9	d370403f	direct-dry-run	build: pin verified Ghostty archive digest	auto-candidate; still requires dry-run and ledger
436a484e31731d83f2520a7cefef67d4286bfec4	436a484e	zig-build-skip	build: unblock release-check for universal release builds	
1bd5c7125cf6511a544813f2c88ff8fc22e0b945	1bd5c712	merge-release-doc-skip	release: v0.4.7.4	
1b5a6355989d980a0b9e7fd38a5331dda7d6b11e	1b5a6355	direct-dry-run	build: strip plugin artifacts from packaged app bundle	auto-candidate; still requires dry-run and ledger
59cc0fe03c58c0b5b0a96856e25f97e3784e1b3d	59cc0fe0	zig-build-skip	workspace: move session reconciliation into Zig kernel	
74152463e4c4697043dcc663ee1a03fecb536543	74152463	direct-dry-run	Fix #234 trackpad gesture crash on Dwindle workspaces	
b3bb8fc621e88ee5b757db25dec6ff8789302d09	b3bb8fc6	zig-build-skip	Move IPC support helpers into Zig kernels	
5014a586dce3db18125480e8d475249e4d3de95c	5014a586	direct-dry-run	Fix CLI completion build timeout and stabilize async IPC tests	auto-candidate; still requires dry-run and ledger
e8ba4018ddbcb1b1f8dff4f899f21ee70541b504	e8ba4018	merge-release-doc-skip	Merge pull request #241 from zicochaos/fix-cli-completion-and-ipc-tests	
042aa0eb82f1cbfc5a9882f1be9fe432005694a2	042aa0eb	zig-build-skip	Fix for zig 0.16.0	
3cb492a3fee7eb38084838de4dd8ddba71a57bbd	3cb492a3	mixed-investigate-only	workspace: rebind stored monitor references by display id	
4167c898b1245b9eb26d6fa86282413e3188dfd0	4167c898	settings-final-state	config: switch settings persistence to canonical JSON files	
38dd698023d0fcbf16da516ca37bf7b4d5af9215	38dd6980	direct-dry-run	runtime: introduce WMRuntime and extract orchestration planners	auto-candidate; still requires dry-run and ledger
5fce6d9433cebfcb048b7e7915ffd03719ed35b9	5fce6d94	settings-final-state	config: switch canonical settings persistence to TOML	
739a96eaacbe1c57809dd4d40cea906c343f329e	739a96ea	direct-dry-run	fix: eliminate window bleed across workspaces and columns	auto-candidate; still requires dry-run and ledger
6d9441b4d529eabb540fdd94b45cebb200ce780d	6d9441b4	direct-dry-run	Fix multi-monitor mouse warp behavior	auto-candidate; still requires dry-run and ledger
2232979a954e0470863cda5eedbddd5218fd3e07	2232979a	direct-dry-run	fix(ax): admit windows on activation when CGS create event is missing	auto-candidate; still requires dry-run and ledger
ef297a5ca5c52b69632d89cb8aff07b35c273571	ef297a5c	direct-dry-run	test(ax): cover orderOut/orderFront recovery admission in handleAppActivation	auto-candidate; still requires dry-run and ledger
84f315df85c20896edfbe29b4aa328c228901359	84f315df	mixed-investigate-only	Tighten relayout scope, border/restore caches, and hot-path invalidation	large mixed commit; extract only reproduced Swift-native fixes
e95b7a6903eedc0093f682abb02f2db57ff7ac86	e95b7a69	direct-dry-run	gestures: fix trackpad column scroll so swipes land on column boundaries	auto-candidate; still requires dry-run and ledger
d3fe14448d6a24e231b49d6bb5eba261424dd672	d3fe1444	mixed-investigate-only	Remove diagnostic tracing infrastructure	
39ab042bf50e8b3501bf7245da52b762a9e1d34b	39ab042b	zig-build-skip	Move orchestration planning into Zig kernels	
bf4167e54eca82e1c964ef9e0b9055b1ce588e5f	bf4167e5	merge-release-doc-skip	release: v0.4.8	
1f09551fcee1b49afe6b4a7d3336b94f75d644fa	1f09551f	zig-build-skip	build: strip Zig cache from release bundle	
a373e3494dcc96b46b8a34f2d1d037c6c2daee80	a373e349	direct-dry-run	Stabilize Niri viewport scrolling	auto-candidate; still requires dry-run and ledger
e77df98a612daee03c3fe0a05e8da067162033d7	e77df98a	direct-dry-run	Refresh workspace bar after Niri topology changes	auto-candidate; still requires dry-run and ledger
fe6df9ea89739760a8ad073862004da8eb4e5bbe	fe6df9ea	direct-dry-run	fix: stabilize native fullscreen restore	auto-candidate; still requires dry-run and ledger
c09201c5c8de56b8119c5d0359ac0882edd817b4	c09201c5	mixed-investigate-only	Fix Niri hidden placement across monitor boundaries	
9aa01bf984b322ea84c778d60899652a4bf6a322	9aa01bf9	mixed-investigate-only	Add GPL-2.0-only SPDX headers	
44e7a7a3659711a245433aaac85f4092f3bc922e	44e7a7a3	mixed-investigate-only	Fix strict Niri close focus recovery	
f740b0b04cf642da805fe48af3afb991d576fefb	f740b0b0	direct-dry-run	Preserve Niri viewport during focused removal	auto-candidate; still requires dry-run and ledger
227f4cd0fc9ed546d7ff2b55faa093048b4f7a1b	227f4cd0	mixed-investigate-only	Fix Niri focused removal recovery	
48aa798ac02c3bd5e189c4e375f33ab666fb5c46	48aa798a	merge-release-doc-skip	Merge pull request #251 from mkdir700/fix/wechat-window-readmission	
22fe918bc700a1b920bca977740d81e5f30a78cb	22fe918b	mixed-investigate-only	Route WM mutations through transactional runtime	
f3f9f4ef6cfebb3f7bc48859a17c502ad5a89338	f3f9f4ef	direct-dry-run	Fix event tap teardown on app shutdown	auto-candidate; still requires dry-run and ledger
dab64100132ed1115efa4fb37263b6d3b0a0195e	dab64100	merge-release-doc-skip	Add new Contributors and Sponsors	
a8b7f3ee5741600175c0f7f7b8282a46724176d6	a8b7f3ee	direct-dry-run	Harden trackpad gesture finalization	auto-candidate; still requires dry-run and ledger
150d5ca15c762d6b1dcd53c17f33245659e8a740	150d5ca1	direct-dry-run	Fix Quake terminal Ghostty resize boundary	auto-candidate; still requires dry-run and ledger
301c9a720464a74311505f023495dd985b2da090	301c9a72	settings-final-state	Fix settings.toml live reload for editor saves	
c85eb26d1eb5d7a75aeab668711c6fe39c18fed6	c85eb26d	zig-build-skip	build: bundle Zig compiler-rt for x86_64 cross-compile	
8858de94bd1c0c087e56c17272dd58326ea68483	8858de94	direct-dry-run	fix two SwiftLint warnings	auto-candidate; still requires dry-run and ledger
4ab8c86590221a3868860d52b1cbf54861b0e67d	4ab8c865	settings-final-state	Persist stable monitor identities in settings	
bc881a679346ff468aa280a0c904f13795548637	bc881a67	direct-dry-run	Fix off-screen status item restore	
cbe7cffbd682b10e1543ca915c013bdf1d7f6126	cbe7cffb	direct-dry-run	Fix status item visibility recovery	
2be39528ddf039f1abf6cf4c0dfa80cd99482283	2be39528	mixed-investigate-only	Scope runtime confirmations to pending work	
0693441560258ceac5e89b26d18596aed255a89a	06934415	direct-dry-run	Test layout toggle graph preservation	auto-candidate; still requires dry-run and ledger
b18487723117ae927e720262c36ab962e38fe5ed	b1848772	direct-dry-run	Respect moved workspace for new app windows	
6abf5382f0cd186fbbfca664014514b691ae69f3	6abf5382	mixed-investigate-only	Fix hidden floating window restoration (#224)	
eb4d29b9b5b362adb13e8e2870a6f9e952f2ec13	eb4d29b9	direct-dry-run	Fix workspace moves for floating windows	auto-candidate; still requires dry-run and ledger
1dd47e2ee57c388f7a5604ff640a6763942acb47	1dd47e2e	direct-dry-run	Remove mouse warp anti-warp clamp	auto-candidate; still requires dry-run and ledger
17243b6a24b55349aa1fa2884b1e428dde2dd49b	17243b6a	merge-release-doc-skip	Merge pull request #286 from zicochaos/pr/build-zig-compiler-rt	
8ce1519f9680b5fdc6b0aa2aa72934b12eec56b3	8ce1519f	merge-release-doc-skip	Merge pull request #287 from zicochaos/pr/lint-warnings	
a64b50cbdd5f2e8e8265672e947cddd51d92afc4	a64b50cb	direct-dry-run	perf: avoid full CGSWindowList scan in Quake terminal screen detection	auto-candidate; still requires dry-run and ledger
bb726be50dbcc8bf32fbe81e1cc33104f467138a	bb726be5	direct-dry-run	perf: skip border work when borders are disabled	auto-candidate; still requires dry-run and ledger
cbceeab7cd41d971c270dff87cfdc1cbf90a1577	cbceeab7	direct-dry-run	Fix: include CGWindowList in pidsWithWindows to catch Electron windows SLS misses	
0f10851e019d21e2e7ec6e4f65171c323938c7af	0f10851e	direct-dry-run	Fix: hasResolvedAttribute should strict-check AXUIElement to ignore AXValue error wrappers	auto-candidate; still requires dry-run and ledger
637979162a10ae61e25c707cbbe07f83d4d60263	63797916	merge-release-doc-skip	Merge pull request #289 from zicochaos/pr/border-disable-perf	
520010ca071cd68ec41f231c909e8ae931354f2e	520010ca	merge-release-doc-skip	Merge pull request #292 from chen259456754/fix/electron-window-invisibility-cgwindow-augment	
afea82cd822f8cb4d1a7d97c8329f6c4863e6bfa	afea82cd	merge-release-doc-skip	Merge pull request #288 from zicochaos/pr/quake-focus-context	
5bdb6479aa292f243b8ed6a57081c4fdf7f261ed	5bdb6479	merge-release-doc-skip	Merge pull request #293 from chen259456754/fix/has-resolved-attribute-strict-axuielement	
85eeb4b4e587a3c6cc479b675356749e8955ef35	85eeb4b4	mixed-investigate-only	Remove Niri focused-removal recovery policy	
6a984977104cee0db0d5e55af4e0e0753133f28a	6a984977	direct-dry-run	Settle stale Niri animation registrations	auto-candidate; still requires dry-run and ledger
6b84fe514331ef54c8c497f85c83a7e52076f3dd	6b84fe51	zig-build-skip	build: unblock release checks	
d1a0a559db13065b3941628d52e512883ae99405	d1a0a559	direct-dry-run	build: remove GitHub verify workflow	auto-candidate; still requires dry-run and ledger
ea732a35960ab2a899ecef393a37582d103d093e	ea732a35	merge-release-doc-skip	release: v0.4.8.1	
